;row_type;node_name_start;node_id_start;node_id_end;node_name_end;X_start;X_end;Y_start;Y_end;startKind;startValue;startT;endKind;endValue;endT;startIsSource;startIsOutlet;endIsSource;endIsOutlet;altitude_start;altitude_end;L;d;s;uphillM;effectiveD;intD;roughness;perforation;pumpDepth;model;frequency;productivity;predict_mode;shtr_debit;K_pump;VolumeWater;choke_diam;Gas_factor_m3_m3;Oildensity_kg_m3;Waterdensity_kg_m3;Formation_pressure_bar
127;injection_well;к.4;к.4;к.4__скв.16;к.4__скв.16;440009.875648599;440009.875648599;6551718.3849489;6551718.3849489;;;;Q;0.1875;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
128;injection_well;к.12;к.12;к.12__скв.28;к.12__скв.28;437701.59;437701.59;6550241.15;6550241.15;;;;Q;1.8125;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
129;pipe;т.вр. в к18 в/в;т.вр. в к18 в/в;уз. в к18;уз. в к18;443258.42;440065.86;6553977.94;6554698.07;;;20;;;20;0.0;0.0;0.0;False;74.2;88.0;3456;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
130;injection_well;к.29;к.29;к.29__скв.675;к.29__скв.675;442419.25250814;442419.25250814;6543927.99863549;6543927.99863549;;;;Q;0.025462963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
131;injection_well;к.2;к.2;к.2__скв.539;к.2__скв.539;437900.82;437900.82;6547270.63;6547270.63;;;;Q;1.4143518519;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
132;injection_well;к.12;к.12;к.12__скв.32;к.12__скв.32;437701.59;437701.59;6550241.15;6550241.15;;;;Q;0.3090277778;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
133;injection_well;к.22;к.22;к.22__скв.550;к.22__скв.550;442344.75;442344.75;6547154.86;6547154.86;;;;Q;0;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;;;826;1015;66.7
134;injection_well;к.23б;к.23б;к.23б__скв.500;к.23б__скв.500;436781.68;436781.68;6545404.95;6545404.95;;;;Q;1.4849537037;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
135;injection_well;к.13;к.13;к.13__скв.456;к.13__скв.456;442206.83;442206.83;6552792.71;6552792.71;;;;Q;1.7233796296000001;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
136;injection_well;к.1;к.1;к.1__скв.63;к.1__скв.63;439823.23;439823.23;6546342.02;6546342.02;;;;Q;1.4212962963;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
