,iconname,w,h,rotate,path,compname,ID примитива,PrimitiveName,Класс CIM из IEC61970-301,"Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009",Определение в ГОСТ Р 58651
52,Отделитель отключен_f.svg,91,91,none,primitives_img/Отделитель отключен_f.svg,Отделитель отключен,11.0,SeparatorOff,GroundDisconnector,6 б,Отделитель,
54,Выключатель нагрузки включен_r.svg,91,91,right,primitives_img/Выключатель нагрузки включен_r.svg,Выключатель нагрузки включен,2.0,LoadBreakSwitchOn,LoadBreakSwitch,2 а,Выключатель нагрузки,Выключатель нагрузки
55,Дугогасящие реакторы с возможностью плавного регулирования_l.svg,91,91,left,primitives_img/Дугогасящие реакторы с возможностью плавного регулирования_l.svg,Дугогасящие реакторы с возможностью плавного регулирования,28.0,ArcSuppressionReactors-ModulatingControl,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
56,Короткозамыкатель отключен_r.svg,91,91,right,primitives_img/Короткозамыкатель отключен_r.svg,Короткозамыкатель отключен,9.0,ShortCircuitOff,GroundSwitch,5,Короткозамыкатель,Короткозамыкатель
57,Выключатель отключен_l.svg,91,91,left,primitives_img/Выключатель отключен_l.svg,Выключатель отключен,1.0,SwitchOff,Breaker,1 б,Выключатель,Выключатель
59,Высокочастотный заградитель линии электропередачи_l.svg,91,91,left,primitives_img/Высокочастотный заградитель линии электропередачи_l.svg,Высокочастотный заградитель линии электропередачи,31.0,HighFrequencyLineArrester,WaveTrap,15,Высокочастотный заградитель линии электропередачи,ВЧ заградитель
61,Заземляющий нож отключен_r.svg,91,91,right,primitives_img/Заземляющий нож отключен_r.svg,Заземляющий нож отключен,7.0,GroundingKnifeOff,GroundSwitch,4 б,Заземляющий нож,Короткозамыкатель
63,Токоограничивающий реактор одинарный_r.svg,65,91,right,primitives_img/Токоограничивающий реактор одинарный_r.svg,Токоограничивающий реактор одинарный,37.0,CurrentLimitingReactorSingle,ConductingEquipment,21,Токоограничивающий реактор,
64,Выключатель отключен_r.svg,91,91,right,primitives_img/Выключатель отключен_r.svg,Выключатель отключен,1.0,SwitchOff,Breaker,1 б,Выключатель,Выключатель
65,Трансформатор силовой 3-х обмоточный с РПН_l.svg,82,85,left,primitives_img/Трансформатор силовой 3-х обмоточный с РПН_l.svg,Трансформатор силовой 3-х обмоточный с РПН,25.0,PowerTransformer-3Wind-LoadTapChanger,PowerTransformer,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор
66,Разъединитель включен_r.svg,91,91,right,primitives_img/Разъединитель включен_r.svg,Разъединитель включен,4.0,DisconnectOn,Disconnector,3 а,Разъединитель,Разъединитель
67,Автоматический выключатель включен_l.svg,91,91,left,primitives_img/Автоматический выключатель включен_l.svg,Автоматический выключатель включен,12.0,CircuitBreakerOn,Breaker,7 а,Автоматический выключатель,Выключатель
68,Предохранитель с плавкой вставкой_f.svg,91,59,none,primitives_img/Предохранитель с плавкой вставкой_f.svg,Предохранитель с плавкой вставкой,36.0,FusedFuse,Fuse,20,Предохранитель 6 – 35 кВ,Предохранитель с плавкой вставкой
69,Тележка выключателя КРУ в рабочем положении выключатель включен_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель включен_r.svg,Тележка выключателя КРУ в рабочем положении выключатель включен,14.0,KruSwitchTrolleyWorkingOn,ProtectedSwitch,8 а,Тележка выключателя КРУ,
70,Фильтр присоединения_l.svg,37,91,left,primitives_img/Фильтр присоединения_l.svg,Фильтр присоединения,32.0,JoinFilter,IdentifiedObject,16,Фильтр присоединения,
71,Разъединитель включен_l.svg,91,91,left,primitives_img/Разъединитель включен_l.svg,Разъединитель включен,4.0,DisconnectOn,Disconnector,3 а,Разъединитель,Разъединитель
72,Разъединитель отключен_l.svg,91,91,left,primitives_img/Разъединитель отключен_l.svg,Разъединитель отключен,5.0,DisconnectOff,Disconnector,3 б,Разъединитель,Разъединитель
73,Трансформатор силовой 3-х обмоточный_l.svg,82,85,left,primitives_img/Трансформатор силовой 3-х обмоточный_l.svg,Трансформатор силовой 3-х обмоточный,26.0,PowerTransformer-3Wind,PowerTransformer,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор
74,Заземляющий нож отключен_l.svg,91,91,left,primitives_img/Заземляющий нож отключен_l.svg,Заземляющий нож отключен,7.0,GroundingKnifeOff,GroundSwitch,4 б,Заземляющий нож,Короткозамыкатель
75,Кабельная линия 6 кВ_f.svg,91,91,none,primitives_img/Кабельная линия 6 кВ_f.svg,Кабельная линия 6 кВ,44.0,CableLine6Kv,ACLineSegment,27,Кабельная линия,Участок (сегмент) линии переменного тока
76,Тележка выключателя КРУ в рабочем положении выключатель включен_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель включен_l.svg,Тележка выключателя КРУ в рабочем положении выключатель включен,14.0,KruSwitchTrolleyWorkingOn,ProtectedSwitch,8 а,Тележка выключателя КРУ,
77,Заземляющий нож отключен_f.svg,91,91,none,primitives_img/Заземляющий нож отключен_f.svg,Заземляющий нож отключен,7.0,GroundingKnifeOff,GroundSwitch,4 б,Заземляющий нож,Короткозамыкатель
79,Автоматический выключатель включен_f.svg,91,91,none,primitives_img/Автоматический выключатель включен_f.svg,Автоматический выключатель включен,12.0,CircuitBreakerOn,Breaker,7 а,Автоматический выключатель,Выключатель
81,Токоограничивающий реактор одинарный_l.svg,65,91,left,primitives_img/Токоограничивающий реактор одинарный_l.svg,Токоограничивающий реактор одинарный,37.0,CurrentLimitingReactorSingle,ConductingEquipment,21,Токоограничивающий реактор,
82,Тележка выключателя КРУ в контрольном положении выключатель отключен_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в контрольном положении выключатель отключен_f.svg,Тележка выключателя КРУ в контрольном положении выключатель отключен,17.0,KruSwitchTrolleyControlOff,ProtectedSwitch,8 г,Тележка выключателя КРУ,
83,Трансформатор напряжения 3-х обмоточный_f.svg,84,81,none,primitives_img/Трансформатор напряжения 3-х обмоточный_f.svg,Трансформатор напряжения 3-х обмоточный,30.0,VoltageTransformer-3Wind,PotentialTransformer,14,Трансформатор напряжения 3-х обмоточный,
84,Тележка разъединителя КРУ  в контрольном положении_l.svg,91,91,left,primitives_img/Тележка разъединителя КРУ  в контрольном положении_l.svg,Тележка разъединителя КРУ  в контрольном положении,20.0,KruDisconnectorControl,ProtectedSwitch,9в,Тележка разъединителя КРУ,
85,Дугогасящие реакторы_f.svg,91,91,none,primitives_img/Дугогасящие реакторы_f.svg,Дугогасящие реакторы,27.0,ArcSuppressionReactors,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
86,Фильтр присоединения_r.svg,37,91,right,primitives_img/Фильтр присоединения_r.svg,Фильтр присоединения,32.0,JoinFilter,IdentifiedObject,16,Фильтр присоединения,
87,Трансформатор силовой 3-х обмоточный_f.svg,84,81,none,primitives_img/Трансформатор силовой 3-х обмоточный_f.svg,Трансформатор силовой 3-х обмоточный,26.0,PowerTransformer-3Wind,PowerTransformer,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор
88,Выключатель нагрузки включен_l.svg,91,91,left,primitives_img/Выключатель нагрузки включен_l.svg,Выключатель нагрузки включен,2.0,LoadBreakSwitchOn,LoadBreakSwitch,2 а,Выключатель нагрузки,Выключатель нагрузки
89,Трансформатор силовой 2-х обмоточный_f.svg,91,91,none,primitives_img/Трансформатор силовой 2-х обмоточный_f.svg,Трансформатор силовой 2-х обмоточный,24.0,PowerTransformer2-Wind,PowerTransformer,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор
