,juncType,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,startKind,startValue,startT,endKind,endValue,endT,startIsSource,endIsOutlet,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,wellNum,padNum,startP,endP,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
84,pipe,к.40__скв.572,572,1750024074,к.40,,431752.5,,6572395.78,Q,0.4636351852,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3052.0,2859.0,ЭЦН5-60-2500,50.0,0.1813058382,periodic,40.0,1.2,83.0,,,14.311113806166976,14.311017137127044,40.70547649348616,,83.0,984.0955923385455,,0.4636351852,0.017912122347968854
85,pipe,уз.вр. к45,1750025402,1750025404,уз.вр. к43,433746.97,436574.14,6569400.21,6568618.2,,,20,,,20,False,False,3042.0,219,8,-6.5,0.85,0.219,1e-05,,,,,,,,,,,,11.365404366612744,10.533283240248073,,,74.403697345823,968.0845800603477,,17.213297934283336,0.4720333457687413
86,pipe,уз.вр. к45,1750025402,1751051660,т.вр.к.45 88,433746.97,433753.34,6569400.21,6569404.37,,,20,,,20,False,False,10.0,159,8,-0.3,0.85,0.159,1e-05,,,,,,,,,,,,11.365404366612744,11.368041298255756,,,74.403697345823,968.0845800603477,,19.084652864616665,0.9928573145182394
87,pipe,к.40б__скв.409,409,1750048880,к.40б,,432109.07,,6572404.64,Q,0.1841273148,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3464.0,2669.0,ЭЦН5-50-2300,50.0,0.1480808786,periodic,17.0,1.2,46.0,,,13.430845197406835,13.430816897786277,17.35632324933693,,46.0,916.5881373710738,,0.1841273148,0.007637512500382324
88,pipe,к.71,1750028316,1750025406,уз.вр. к37,440040.9303,442465.6733,6561506.885,6562885.375,,,20,,,20,False,False,3720.0,168,16,-5.4,0.85,0.168,1e-05,,,,,,,,,,,,9.133350707784864,8.65005686179744,,,87.10506322215014,991.2201255786609,,5.9713703241000005,0.2717662093363039
89,pipe,к.88__скв.1637,1637,1750037786,к.88,,430953.64,,6565257.62,Q,0.2433958333,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3000.0,2489.0,ЭЦН5-80-2650,50.0,0.09384050682,periodic,21.0,0.9,90.0,,,19.010644911412562,19.01060740787595,21.091103006244005,,90.0,997.0744531897768,,0.2433958333,0.009280972735005598
90,pipe,к.55__скв.1603,1603,1750037686,к.55,,429468.68,,6575668.1,Q,0.4637962963,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3359.0,2888.0,ЭЦН5-60-2500,50.0,0.1785656154,periodic,40.0,1.2,72.4,,,16.138968614986283,16.138869747623595,41.52146135440168,,72.4,965.0912731199423,,0.4637962963,0.0182711900194933
91,pipe,к.37__скв.3742,3742,1750023893,к.37,,442111.8973,,6562785.606,Q,0.3130685185,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,2812.0,2684.0,ЭЦН5А-35-2400,54.0,0.1181010479,two,28.0,,64.0,,,9.65819316175106,9.65819320925396,28.511559390879732,,64.0,948.7071411131747,,0.3130685185,0.012546285761389935
92,pipe,к.88,1750037786,1750022894,уз.в.сек№88.4,430953.64,432750.16,6565257.62,6568587.91,,,20,,,20,False,False,3895.0,159,8,-6.4,0.85,0.159,1e-05,,,,,,,,,,,,19.01060740787595,13.450721067991543,,,74.8802119297331,969.9714010167838,,14.367983820000001,0.7460239637710294
93,pipe,к.45__скв.1503,1503,1750026636,к.45,,432637.02,,6568595.31,Q,0.5099824074,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3002.0,2223.0,ЭЦН5-60-2450,50.0,0.2968364771,periodic,46.0,1.2,62.0,,,12.001198786158783,12.001198872697914,46.603716692728526,,62.0,945.4713728065163,,0.5099824074,0.020507596205238253
94,pipe,к.44__скв.6005,6005,1751054627,к.44,,439199.92,,6568611.67,Q,0.3817592593,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3152.0,2541.0,ЭЦН5-125-2500,50.0,0.2196341302,periodic,35.0,0.85,45.0,,,8.684841223249506,8.684843677316403,36.10937133959076,,45.0,913.4470853375378,,0.3817592593,0.01588964269823723
95,pipe,к.55__скв.1606,1606,1750037686,к.55,,429468.68,,6575668.1,Q,1.260286806,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3177.0,2551.0,ЭЦН5-125-2600,48.5,1.206220026,const,111.0,0.85,82.0,,,16.139314058923713,16.138869747623595,110.83381783435313,,82.0,982.4508635183886,,1.260286806,0.04877154320154232
96,pipe,к.71__скв.1900,1900,1750028316,к.71,,440040.9303,,6561506.885,Q,0.6606458333,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3164.0,2726.0,ЭЦН5-125-2500,50.0,0.3771694673,periodic,57.0,1,90.0,,,9.133512778106256,9.133350707784864,57.27690363140087,,90.0,996.5587589100608,,0.6606458333,0.02520424753466896
97,pipe,к.71__скв.1911,1911,1750028316,к.71,,440040.9303,,6561506.885,Q,1.008756944,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3265.0,2642.0,ЭЦН5-125-2700,47.0,0.85562784,periodic,87.0,0.8,90.0,,,9.1336604845691,9.133350707784864,87.45756186032523,,90.0,996.5587664196964,,1.008756944,0.038485007012456544
98,pipe,к.88__скв.1638,1638,1750037786,к.88,,430953.64,,6565257.62,Q,1.040391204,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,2791.0,2685.0,ЭЦН5А-100-2400,50.0,0.8037922979,na,91.0,,83.4,,,19.010935667946757,19.01060740787595,91.23611486045486,,83.4,985.2436194053854,,1.040391204,0.04014772931586546
99,pipe,к.230__скв.2306,2306,1751067763,к.230,,430953.64,,6561257.62,Q,0.9555737269,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3473.0,2550.0,ЭЦН5А-160-2650,47.0,1,const,91.0,1,43.0,,,19.868850387879053,19.868850664284032,90.41886060974666,,43.0,913.1011986592132,,0.9555737269,0.03978810305942242
100,pipe,к.45__скв.627,627,1750026636,к.45,,432637.02,,6568595.31,Q,0.3792152778,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,2761.0,2660.0,ЭЦН5-100-2500,50.0,0.1740443529,periodic,35.0,0.9,52.0,,,12.001198786138616,12.001198872697914,35.337689668478674,,52.0,927.1743656503317,,0.3792152778,0.015550070294291621
101,pipe,уз.входа ДНС-3,1751062704,1751058919,ДНС-3 Тайлаковская,439079.83,439860.18,6568361.91,6568211.92,,,20,P,7.3,20,False,True,983.0,273,8,2.6,0.85,0.273,1e-05,,,,,,,,,,,,8.682119070032346,7.3,,-4707.314662524335,76.31750180871066,971.2719102354714,,52.9082075925,0.9306085793086705
